event_start_time,event_title,outcome,selection,price,won,net_payout_per_dollar,price_bucket
2026-06-16T22:00:00Z,Iraq vs. Norway,team2_win,Norway,0.8036388888888888,True,0.24433998133490054,80-89c
2026-06-17T01:00:00Z,Argentina vs. Algeria,team1_win,Argentina,0.6701944444444443,True,0.49210428151034136,60-69c
2026-06-17T01:00:00Z,Argentina vs. Algeria,draw,Draw,0.21094444444444446,False,-1.0,20-29c
2026-06-17T01:00:00Z,Argentina vs. Algeria,team2_win,Algeria,0.11825,False,-1.0,10-19c
2026-06-17T04:00:00Z,Austria vs. Jordan,team1_win,Austria,0.7044444444444444,True,0.41955835962145116,70-79c
2026-06-17T04:00:00Z,Austria vs. Jordan,draw,Draw,0.19022222222222235,False,-1.0,10-19c
2026-06-17T04:00:00Z,Austria vs. Jordan,team2_win,Jordan,0.1056666666666668,False,-1.0,10-19c
2026-06-17T17:00:00Z,Portugal vs. DR Congo,team1_win,Portugal,0.7641944444444446,False,-1.0,70-79c
2026-06-17T17:00:00Z,Portugal vs. DR Congo,draw,Draw,0.16727777777777783,True,4.978080371969443,10-19c
2026-06-17T17:00:00Z,Portugal vs. DR Congo,team2_win,DR Congo,0.07499999999999997,False,-1.0,0-9c
2026-06-17T20:00:00Z,England vs. Croatia,team1_win,England,0.5763611111111111,True,0.7350233746204637,50-59c
2026-06-17T20:00:00Z,England vs. Croatia,draw,Draw,0.2537222222222222,False,-1.0,20-29c
2026-06-17T20:00:00Z,England vs. Croatia,team2_win,Croatia,0.1734722222222222,False,-1.0,10-19c
2026-06-17T23:00:00Z,Ghana vs. Panama,team1_win,Ghana,0.40594444444444455,True,1.4633912686465025,40-49c
2026-06-17T23:00:00Z,Ghana vs. Panama,draw,Draw,0.3013055555555555,False,-1.0,30-39c
2026-06-17T23:00:00Z,Ghana vs. Panama,team2_win,Panama,0.2924444444444444,False,-1.0,20-29c
2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team1_win,Uzbekistan,0.09344444444444444,False,-1.0,0-9c
2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,draw,Draw,0.1949722222222223,False,-1.0,10-19c
2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team2_win,Colombia,0.7096944444444444,True,0.4090571059532664,70-79c
2026-06-18T16:00:00Z,Czechia vs. South Africa,team1_win,Czechia,0.5264166666666668,False,-1.0,50-59c
2026-06-18T16:00:00Z,Czechia vs. South Africa,draw,Draw,0.267,True,2.745318352059925,20-29c
2026-06-18T16:00:00Z,Czechia vs. South Africa,team2_win,South Africa,0.20444444444444437,False,-1.0,20-29c
2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team1_win,Switzerland,0.625,True,0.6000000000000001,60-69c
2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,draw,Draw,0.23491666666666666,False,-1.0,20-29c
2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team2_win,Bosnia-Herzegovina,0.14633333333333326,False,-1.0,10-19c
2026-06-18T22:00:00Z,Canada vs. Qatar,team1_win,Canada,0.7488333333333335,True,0.33541063877142197,70-79c
2026-06-18T22:00:00Z,Canada vs. Qatar,draw,Draw,0.17097222222222228,False,-1.0,10-19c
2026-06-18T22:00:00Z,Canada vs. Qatar,team2_win,Qatar,0.08380555555555555,False,-1.0,0-9c
2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team1_win,Mexico,0.4720416666666667,True,1.1184570571100716,40-49c
2026-06-19T01:00:00Z,Mexico vs. Korea Republic,draw,Draw,0.29598611111111117,False,-1.0,20-29c
2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team2_win,Korea Republic,0.23680555555555557,False,-1.0,20-29c
2026-06-19T19:00:00Z,United States vs. Australia,team1_win,United States,0.6035555555555555,True,0.6568483063328425,60-69c
2026-06-19T19:00:00Z,United States vs. Australia,draw,Draw,0.21749999999999997,False,-1.0,20-29c
2026-06-19T19:00:00Z,United States vs. Australia,team2_win,Australia,0.18073611111111118,False,-1.0,10-19c
2026-06-19T22:00:00Z,Scotland vs. Morocco,team1_win,Scotland,0.15499999999999997,False,-1.0,10-19c
2026-06-19T22:00:00Z,Scotland vs. Morocco,draw,Draw,0.265,False,-1.0,20-29c
2026-06-19T22:00:00Z,Scotland vs. Morocco,team2_win,Morocco,0.5858333333333334,True,0.7069701280227594,50-59c
2026-06-20T00:30:00Z,Brazil vs. Haiti,team1_win,Brazil,0.8848888888888888,True,0.1300853842290306,80-89c
