price_bucket,outcomes,avg_price,wins,realized_win_rate,expected_win_rate_at_avg_price,avg_net_payout_per_dollar,total_net_payout_per_dollar,realized_edge_vs_price
0-9c,36,0.06099856264534384,1,0.027777777777777776,0.06099856264534384,-0.5305164319248827,-19.09859154929578,-0.033220784867566064
10-19c,68,0.15208756993101955,10,0.14705882352941177,0.15208756993101955,-0.05158387677859945,-3.5077036209447625,-0.005028746401607775
20-29c,82,0.25077615607804277,16,0.1951219512195122,0.25077615607804277,-0.24059900305029533,-19.729118250124216,-0.055654204858530565
30-39c,30,0.33727703171488665,8,0.26666666666666666,0.33727703171488665,-0.21750627617956234,-6.52518828538687,-0.07061036504821999
40-49c,19,0.4444582532479629,12,0.631578947368421,0.4444582532479629,0.4311441140258593,8.191738166491326,0.18712069412045812
50-59c,23,0.5502374702249522,15,0.6521739130434783,0.5502374702249522,0.1828910976364388,4.206495245638092,0.1019364428185261
60-69c,23,0.6477717157118579,17,0.7391304347826086,0.6477717157118579,0.14389452802444974,3.309574144562344,0.09135871907075077
70-79c,13,0.7402928001515259,11,0.8461538461538461,0.7402928001515259,0.1462007785108705,1.9006101206413162,0.10586104600232027
80-89c,15,0.8464880065661229,12,0.8,0.8464880065661229,-0.05829401157992199,-0.8744101736988299,-0.04648800656612284
90-99c,3,0.9222662037037037,2,0.6666666666666666,0.9222662037037037,-0.27886489158425354,-0.8365946747527606,-0.2555995370370371
