event_start_time,event_slug,event_title,poly_team1,poly_team2,team1_code,team2_code,elo_match_date,team1_elo_pre,team2_elo_pre,team1_goals,team2_goals,score_source,polymarket_team1_win_price,polymarket_draw_price,polymarket_team2_win_price,elo_team1_win_prob,elo_draw_prob,elo_team2_win_prob,elo_source,round,match_date,venue_code,is_upcoming,team1_form,team2_form,team1_recent_matches,team2_recent_matches,went_to_penalties,advance_winner,team1_pen_goals,team2_pen_goals,fifa_match_no,bracket_side,bracket_slot,is_next_up
2026-06-28T19:00:00Z,fifwc-rsa-can-2026-06-28,South Africa vs. Canada,South Africa,Canada,ZA,CA,2026-06-28 00:00:00+00:00,1576.0,1748.0,0.0,1.0,polymarket_event_score,0.0,0.0,1.0,0.2013065166567593,0.2568699875042794,0.5418234958389612,2026_results.tsv,Round of 32,2026-06-28,US,False,L-W-D-L,L-W-L-W-D,L 0-1 vs Canada (Jun 28) | W 1-0 vs South Korea (Jun 24) | D 1-1 vs Czechia (Jun 18) | L 0-2 vs Mexico (Jun 11),L 0-3 vs Morocco (Jul 04) | W 1-0 vs South Africa (Jun 28) | L 1-2 vs Switzerland (Jun 24) | W 6-0 vs Qatar (Jun 18) | D 1-1 vs Bosnia and Herzegovina (Jun 12),False,,,,73,left,3,False
2026-06-29T17:00:00Z,fifwc-bra-jpn-2026-06-29,Brazil vs. Japan,Brazil,Japan,BR,JP,2026-06-29 00:00:00+00:00,2009.0,1910.0,2.0,1.0,polymarket_event_score,1.0,0.0,0.0,0.46500382201083473,0.2719957092601729,0.2630004687289924,2026_results.tsv,Round of 32,2026-06-29,US,False,L-W-W-W-D,L-D-W-D,L 1-2 vs Norway (Jul 05) | W 2-1 vs Japan (Jun 29) | W 3-0 vs Scotland (Jun 24) | W 3-0 vs Haiti (Jun 19) | D 1-1 vs Morocco (Jun 13),L 1-2 vs Brazil (Jun 29) | D 1-1 vs Sweden (Jun 25) | W 4-0 vs Tunisia (Jun 20) | D 2-2 vs Netherlands (Jun 14),False,,,,76,right,1,False
2026-06-29T20:30:00Z,fifwc-ger-par-2026-06-29,Germany vs. Paraguay,Germany,Paraguay,DE,PY,2026-06-29 00:00:00+00:00,1916.0,1814.0,1.0,1.0,polymarket_event_score,0.0,1.0,0.0,0.46820699158570567,0.27151474850803253,0.26027825990626186,2026_results.tsv,Round of 32,2026-06-29,US,False,D-L-W-W,L-D-D-W-L,D 1-1 vs Paraguay (Jun 29) | L 1-2 vs Ecuador (Jun 25) | W 2-1 vs Ivory Coast (Jun 20) | W 7-1 vs CuraÃ§ao (Jun 14),L 0-1 vs France (Jul 04) | D 1-1 vs Germany (Jun 29) | D 0-0 vs Australia (Jun 25) | W 1-0 vs Turkey (Jun 19) | L 1-4 vs United States (Jun 12),True,team2,3.0,4.0,74,left,1,False
2026-06-30T01:00:00Z,fifwc-nld-mar-2026-06-29,Netherlands vs. Morocco,Netherlands,Morocco,NL,MA,2026-06-29 00:00:00+00:00,1980.0,1877.0,1.0,1.0,polymarket_event_score,0.0,1.0,0.0,0.46927427928450904,0.2713515345514816,0.2593741861640093,2026_results.tsv,Round of 32,2026-06-29,MX,False,D-W-W-D,L-W-D-W-W-D,D 1-1 vs Morocco (Jun 29) | W 3-1 vs Tunisia (Jun 25) | W 5-1 vs Sweden (Jun 20) | D 2-2 vs Japan (Jun 14),L 0-2 vs France (Jul 09) | W 3-0 vs Canada (Jul 04) | D 1-1 vs Netherlands (Jun 29) | W 4-2 vs Haiti (Jun 24) | W 1-0 vs Scotland (Jun 19) | D 1-1 vs Brazil (Jun 13),True,team2,2.0,3.0,75,left,4,False
2026-06-30T21:00:00Z,fifwc-fra-swe-2026-06-30,France vs. Sweden,France,Sweden,FR,SE,2026-06-30 00:00:00+00:00,2123.0,1742.0,3.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.7292149813867291,0.18943538852599545,0.0813496300872754,2026_results.tsv,Round of 32,2026-06-30,US,False,W-W-W-W-W-W,L-D-L-W,W 2-0 vs Morocco (Jul 09) | W 1-0 vs Paraguay (Jul 04) | W 3-0 vs Sweden (Jun 30) | W 4-1 vs Norway (Jun 26) | W 3-0 vs Iraq (Jun 22) | W 3-1 vs Senegal (Jun 16),L 0-3 vs France (Jun 30) | D 1-1 vs Japan (Jun 25) | L 1-5 vs Netherlands (Jun 20) | W 5-1 vs Tunisia (Jun 14),False,,,,77,left,2,False
2026-07-01T01:00:00Z,fifwc-mex-ecu-2026-06-30,Mexico vs. Ecuador,Mexico,Ecuador,MX,EC,2026-06-30 00:00:00+00:00,1912.0,1902.0,2.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.3704017166047014,0.27991651423965425,0.34968176915564436,2026_results.tsv,Round of 32,2026-06-30,,False,L-W-W-W-W,L-W-D-L,L 2-3 vs England (Jul 05) | W 2-0 vs Ecuador (Jun 30) | W 3-0 vs Czechia (Jun 24) | W 1-0 vs South Korea (Jun 18) | W 2-0 vs South Africa (Jun 11),L 0-2 vs Mexico (Jun 30) | W 2-1 vs Germany (Jun 25) | D 0-0 vs CuraÃ§ao (Jun 20) | L 0-1 vs Ivory Coast (Jun 14),False,,,,79,right,3,False
2026-06-30T17:00:00Z,fifwc-civ-nor-2026-06-30,Côte d'Ivoire vs. Norway,Côte d'Ivoire,Norway,CI,NO,2026-06-30 00:00:00+00:00,1743.0,1918.0,1.0,2.0,polymarket_event_score,0.0,0.0,1.0,0.1989851914073444,0.25610985351493154,0.544904955077724,2026_results.tsv,Round of 32,2026-06-30,US,False,L-W-L-W,W-W-L-W-W,L 1-2 vs Norway (Jun 30) | W 2-0 vs CuraÃ§ao (Jun 25) | L 1-2 vs Germany (Jun 20) | W 1-0 vs Ecuador (Jun 14),W 2-1 vs Brazil (Jul 05) | W 2-1 vs Ivory Coast (Jun 30) | L 1-4 vs France (Jun 26) | W 3-2 vs Senegal (Jun 22) | W 4-1 vs Iraq (Jun 16),False,,,,78,right,2,False
2026-07-01T20:00:00Z,fifwc-bel-sen-2026-07-01,Belgium vs. Senegal,Belgium,Senegal,BE,SN,2026-07-01 00:00:00+00:00,1884.0,1842.0,3.0,2.0,polymarket_event_score,0.0,1.0,0.0,0.4041298972298877,0.278532906453898,0.3173371963162143,2026_results.tsv,Round of 32,2026-07-01,US,False,W-W-W-D-D,L-W-L-L,W 4-1 vs United States (Jul 06) | W 3-2 vs Senegal (Jul 01) | W 5-1 vs New Zealand (Jun 26) | D 0-0 vs Iran (Jun 21) | D 1-1 vs Egypt (Jun 15),L 2-3 vs Belgium (Jul 01) | W 5-0 vs Iraq (Jun 26) | L 2-3 vs Norway (Jun 22) | L 1-3 vs France (Jun 16),False,,,,82,left,8,False
2026-07-01T16:00:00Z,fifwc-eng-cdr-2026-07-01,England vs. DR Congo,England,DR Congo,EN,CD,2026-07-01 00:00:00+00:00,2038.0,1712.0,2.0,1.0,polymarket_event_score,1.0,0.0,0.0,0.6861316312044352,0.20881561503550988,0.10505275376005507,2026_results.tsv,Round of 32,2026-07-01,US,False,W-W-W-D-W,L-W-L-D,W 3-2 vs Mexico (Jul 05) | W 2-1 vs DR Congo (Jul 01) | W 2-0 vs Panama (Jun 27) | D 0-0 vs Ghana (Jun 23) | W 4-2 vs Croatia (Jun 17),L 1-2 vs England (Jul 01) | W 3-1 vs Uzbekistan (Jun 27) | L 0-1 vs Colombia (Jun 23) | D 1-1 vs Portugal (Jun 17),False,,,,80,right,4,False
2026-07-02T00:00:00Z,fifwc-usa-bih-2026-07-01,United States vs. Bosnia and Herzegovina,United States,Bosnia and Herzegovina,US,BA,2026-07-01 00:00:00+00:00,1781.0,1622.0,2.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.5283835543384043,0.26004878112856833,0.21156766453302747,2026_results.tsv,Round of 32,2026-07-01,,False,L-W-L-W-W,L-W-L-D,L 1-4 vs Belgium (Jul 06) | W 2-0 vs Bosnia and Herzegovina (Jul 01) | L 2-3 vs Turkey (Jun 25) | W 2-0 vs Australia (Jun 19) | W 4-1 vs Paraguay (Jun 12),L 0-2 vs United States (Jul 01) | W 3-1 vs Qatar (Jun 24) | L 1-4 vs Switzerland (Jun 18) | D 1-1 vs Canada (Jun 12),False,,,,81,left,7,False
